Year,IndicatorID,BreakOutCategoryId,Concentration
2004,HC101,BOC01,17.0
2004,HC101,BOC03,21.1
2006,HC103,BOC03,1.9
2006,HC103,BOC03,1.7
2006,HC103,BOC03,2.0
2006,HC103,BOC03,4.3
2004,HC201,BOC02,18.2
2005,HC401,BOC02,3.2
2005,HC401,BOC02,1.4
2005,HC401,BOC03,0.0
2005,HC401,BOC03,0.5
2005,HC401,BOC03,2.7
2005,HC401,BOC03,2.9
2005,HC401,BOC03,2.6
2005,HC401,BOC03,3.0
2006,HC401,BOC01,2.1
2006,HC401,BOC02,3.1
2006,HC401,BOC02,1.4
2006,HC401,BOC03,0.0
2006,HC401,BOC03,0.5
2006,HC401,BOC03,2.7
2006,HC401,BOC03,2.9
2006,HC401,BOC03,2.6
2006,HC401,BOC03,2.9
2007,HC401,BOC01,1.9
2007,HC401,BOC02,2.9
2007,HC401,BOC02,1.3
2007,HC401,BOC03,0.0
2007,HC401,BOC03,0.5
2007,HC401,BOC03,2.5
2007,HC401,BOC03,2.7
2007,HC401,BOC03,2.4
2007,HC401,BOC03,2.7
2008,HC401,BOC01,1.9
2008,HC401,BOC02,2.9
2008,HC401,BOC02,1.3
2008,HC401,BOC03,0.0
2008,HC401,BOC03,0.5
2008,HC401,BOC03,2.5
2008,HC401,BOC03,2.7
2008,HC401,BOC03,2.4
2008,HC401,BOC03,2.7
2009,HC401,BOC01,1.9
2009,HC401,BOC02,2.9
2009,HC401,BOC02,1.3
2009,HC401,BOC03,0.0
2009,HC401,BOC03,0.5
2009,HC401,BOC03,2.5
2009,HC401,BOC03,2.7
2009,HC401,BOC03,2.4
2009,HC401,BOC03,2.7
2010,HC401,BOC01,1.8
2010,HC401,BOC02,2.7
2010,HC401,BOC02,1.2
2010,HC401,BOC03,0.0
2010,HC401,BOC03,0.4
2010,HC401,BOC03,2.4
2010,HC401,BOC03,2.6
2010,HC401,BOC03,2.3
2010,HC401,BOC03,2.6
2011,HC401,BOC01,1.9
2011,HC401,BOC02,2.8
2011,HC401,BOC02,1.2
2011,HC401,BOC03,0.0
2011,HC401,BOC03,0.4
2011,HC401,BOC03,2.4
2011,HC401,BOC03,2.5
2011,HC401,BOC03,2.3
2011,HC401,BOC03,2.5
2012,HC401,BOC01,2.0
2012,HC401,BOC02,3.0
2012,HC401,BOC02,1.3
2012,HC401,BOC03,0.0
2012,HC401,BOC03,0.5
2012,HC401,BOC03,2.6
2012,HC401,BOC03,2.7
2012,HC401,BOC03,2.4
2012,HC401,BOC03,2.7
2013,HC401,BOC01,2.0
2013,HC401,BOC02,3.0
2013,HC401,BOC02,1.3
2013,HC401,BOC03,0.0
2013,HC401,BOC03,0.5
2013,HC401,BOC03,2.6
2013,HC401,BOC03,2.7
2013,HC401,BOC03,2.5
2013,HC401,BOC03,2.7
2004,HC403,BOC01,7.2
2004,HC403,BOC02,6.0
2004,HC403,BOC02,8.8
2004,HC403,BOC03,
2004,HC403,BOC03,1.8
2009,HC503,BOC03,3.9
2004,HC403,BOC03,3.0
2004,HC403,BOC03,10.1
2004,HC403,BOC03,7.2
2004,HC403,BOC03,12.3
2005,HC403,BOC01,6.8
2005,HC403,BOC02,5.9
2005,HC403,BOC02,8.2
2005,HC403,BOC03,
2005,HC403,BOC03,1.4
2005,HC403,BOC03,2.9
2005,HC403,BOC03,9.6
2005,HC403,BOC03,6.9
2005,HC403,BOC03,11.7
2006,HC403,BOC01,6.2
2006,HC403,BOC02,5.3
2006,HC403,BOC02,7.6
2006,HC403,BOC03,
2006,HC403,BOC03,1.5
2009,HC503,BOC03,3.3
2006,HC403,BOC03,2.9
2006,HC403,BOC03,8.9
2006,HC403,BOC03,6.3
2006,HC403,BOC03,10.8
2007,HC403,BOC01,6.1
2007,HC403,BOC02,5.4
2007,HC403,BOC02,7.3
2007,HC403,BOC03,
2007,HC403,BOC03,1.5
2007,HC403,BOC03,2.8
2007,HC403,BOC03,8.7
2007,HC403,BOC03,6.2
2007,HC403,BOC03,10.6
2008,HC403,BOC01,6.0
2008,HC403,BOC02,5.2
2008,HC403,BOC02,7.2
2008,HC403,BOC03,
2008,HC403,BOC03,1.6
2009,HC503,BOC03,4.4
2008,HC403,BOC03,2.9
2008,HC403,BOC03,8.4
2008,HC403,BOC03,6.1
2008,HC403,BOC03,10.3
2009,HC403,BOC01,5.6
2009,HC403,BOC02,5.0
2009,HC403,BOC02,6.4
2009,HC403,BOC03,
2009,HC403,BOC03,1.7
2009,HC403,BOC03,2.8
2009,HC403,BOC03,7.8
2009,HC403,BOC03,5.6
2009,HC403,BOC03,9.6
2010,HC403,BOC01,5.3
2010,HC403,BOC02,4.7
2010,HC403,BOC02,6.3
2010,HC403,BOC03,
2010,HC403,BOC03,1.6
2010,HC403,BOC03,2.6
2010,HC403,BOC03,7.6
2010,HC403,BOC03,5.4
2010,HC403,BOC03,9.3
2011,HC403,BOC01,5.3
2011,HC403,BOC02,4.7
2011,HC403,BOC02,6.2
2011,HC403,BOC03,
2011,HC403,BOC03,1.6
2011,HC403,BOC03,2.7
2011,HC403,BOC03,7.4
2011,HC403,BOC03,5.3
2011,HC403,BOC03,9.0
2012,HC403,BOC01,5.2
2012,HC403,BOC02,4.6
2012,HC403,BOC02,6.0
2012,HC403,BOC03,
2012,HC403,BOC03,1.8
2012,HC403,BOC03,2.7
2012,HC403,BOC03,7.2
2012,HC403,BOC03,5.2
2012,HC403,BOC03,9.0
2013,HC403,BOC01,5.0
2013,HC403,BOC02,4.5
2013,HC403,BOC02,5.7
2013,HC403,BOC03,
2013,HC403,BOC03,1.7
2013,HC403,BOC03,2.6
2013,HC403,BOC03,6.9
2013,HC403,BOC03,5.0
2013,HC403,BOC03,8.5
2004,HC301,BOC01,6.1
2004,HC301,BOC02,9.5
2004,HC301,BOC02,3.9
2004,HC301,BOC03,0.0
2004,HC301,BOC03,1.2
2004,HC301,BOC03,8.8
2004,HC301,BOC03,8.3
2004,HC301,BOC03,7.6
2004,HC301,BOC03,7.2
2005,HC301,BOC01,5.7
2005,HC301,BOC02,9.0
2005,HC301,BOC02,3.6
2005,HC301,BOC03,0.0
2005,HC301,BOC03,1.2
2005,HC301,BOC03,8.2
2005,HC301,BOC03,7.6
2005,HC301,BOC03,7.1
2005,HC301,BOC03,6.6
2006,HC301,BOC01,5.9
2006,HC301,BOC02,9.2
2006,HC301,BOC02,3.7
2006,HC301,BOC03,0.0
2006,HC301,BOC03,1.2
2006,HC301,BOC03,8.4
2006,HC301,BOC03,7.9
2006,HC301,BOC03,7.3
2006,HC301,BOC03,6.7
2007,HC301,BOC01,5.0
2007,HC301,BOC02,7.8
2007,HC301,BOC02,3.1
2007,HC301,BOC03,0.0
2007,HC301,BOC03,1.0
2007,HC301,BOC03,7.1
2007,HC301,BOC03,6.8
2007,HC301,BOC03,6.2
2007,HC301,BOC03,5.9
2008,HC301,BOC01,4.8
2008,HC301,BOC02,7.5
2008,HC301,BOC02,3.0
2008,HC301,BOC03,0.0
2008,HC301,BOC03,1.0
2008,HC301,BOC03,6.7
2008,HC301,BOC03,6.4
2008,HC301,BOC03,5.9
2008,HC301,BOC03,5.6
2009,HC301,BOC01,4.5
2009,HC301,BOC02,7.0
2009,HC301,BOC02,2.9
2009,HC301,BOC03,0.0
2009,HC301,BOC03,0.9
2009,HC301,BOC03,6.2
2009,HC301,BOC03,6.1
2009,HC301,BOC03,5.6
2009,HC301,BOC03,5.4
2010,HC301,BOC01,3.9
2010,HC301,BOC02,6.0
2010,HC301,BOC02,2.5
2010,HC301,BOC03,0.0
2010,HC301,BOC03,0.8
2010,HC301,BOC03,5.3
2010,HC301,BOC03,5.3
2010,HC301,BOC03,4.8
2010,HC301,BOC03,4.7
2011,HC301,BOC01,3.8
2011,HC301,BOC02,5.8
2011,HC301,BOC02,2.4
2011,HC301,BOC03,0.0
2011,HC301,BOC03,0.8
2011,HC301,BOC03,5.1
2011,HC301,BOC03,5.0
2011,HC301,BOC03,4.6
2011,HC301,BOC03,4.5
2012,HC301,BOC01,3.8
2012,HC301,BOC02,5.8
2012,HC301,BOC02,2.4
2012,HC301,BOC03,0.0
2012,HC301,BOC03,0.8
2012,HC301,BOC03,5.1
2012,HC301,BOC03,5.1
2012,HC301,BOC03,4.7
2012,HC301,BOC03,4.5
2013,HC301,BOC01,3.6
2013,HC301,BOC02,5.6
2013,HC301,BOC02,2.2
2013,HC301,BOC03,0.0
2013,HC301,BOC03,0.8
2013,HC301,BOC03,4.8
2013,HC301,BOC03,4.8
2013,HC301,BOC03,4.5
2013,HC301,BOC03,4.3
2004,HC303,BOC01,3.0
2004,HC303,BOC02,2.5
2004,HC303,BOC02,3.7
2004,HC303,BOC03,
2004,HC303,BOC03,0.8
2004,HC303,BOC03,1.1
2004,HC303,BOC03,4.4
2004,HC303,BOC03,3.0
2004,HC303,BOC03,6.1
2005,HC303,BOC01,2.8
2005,HC303,BOC02,2.4
2005,HC303,BOC02,3.5
2005,HC303,BOC03,
2005,HC303,BOC03,0.7
2005,HC303,BOC03,1.1
2005,HC303,BOC03,4.2
2005,HC303,BOC03,2.8
2005,HC303,BOC03,5.9
2006,HC303,BOC01,2.5
2006,HC303,BOC02,2.1
2006,HC303,BOC02,3.2
2006,HC303,BOC03,
2006,HC303,BOC03,0.7
2006,HC303,BOC03,1.1
2006,HC303,BOC03,3.7
2006,HC303,BOC03,2.5
2006,HC303,BOC03,5.2
2007,HC303,BOC01,2.7
2007,HC303,BOC02,2.3
2007,HC303,BOC02,3.3
2007,HC303,BOC03,
2007,HC303,BOC03,0.7
2007,HC303,BOC03,1.2
2007,HC303,BOC03,4.0
2007,HC303,BOC03,2.7
2007,HC303,BOC03,5.5
2008,HC303,BOC01,2.8
2008,HC303,BOC02,2.4
2008,HC303,BOC02,3.5
2008,HC303,BOC03,
2008,HC303,BOC03,0.8
2008,HC303,BOC03,1.3
2008,HC303,BOC03,4.0
2008,HC303,BOC03,2.8
2008,HC303,BOC03,5.7
2009,HC303,BOC01,2.7
2009,HC303,BOC02,2.4
2009,HC303,BOC02,3.2
2009,HC303,BOC03,
2009,HC303,BOC03,1.0
2009,HC303,BOC03,1.3
2009,HC303,BOC03,3.9
2009,HC303,BOC03,2.7
2009,HC303,BOC03,5.3
2010,HC303,BOC01,2.8
2010,HC303,BOC02,2.5
2010,HC303,BOC02,3.4
2010,HC303,BOC03,
2010,HC303,BOC03,0.9
2010,HC303,BOC03,1.3
2010,HC303,BOC03,4.1
2010,HC303,BOC03,2.8
2010,HC303,BOC03,5.6
2011,HC303,BOC01,3.0
2011,HC303,BOC02,2.6
2011,HC303,BOC02,3.5
2011,HC303,BOC03,
2011,HC303,BOC03,1.0
2011,HC303,BOC03,1.5
2011,HC303,BOC03,4.2
2011,HC303,BOC03,3.0
2011,HC303,BOC03,5.7
2012,HC303,BOC01,3.0
2012,HC303,BOC02,2.7
2012,HC303,BOC02,3.6
2012,HC303,BOC03,
2012,HC303,BOC03,1.2
2012,HC303,BOC03,1.5
2012,HC303,BOC03,4.2
2012,HC303,BOC03,3.0
2012,HC303,BOC03,5.8
2013,HC303,BOC01,3.1
2013,HC303,BOC02,2.8
2013,HC303,BOC02,3.7
2013,HC303,BOC03,
2013,HC303,BOC03,1.2
2013,HC303,BOC03,1.6
2013,HC303,BOC03,4.3
2013,HC303,BOC03,3.1
2013,HC303,BOC03,5.8
2004,HC501,BOC01,3.4
2004,HC501,BOC02,4.1
2004,HC501,BOC02,2.9
2004,HC501,BOC03,0.1
2004,HC501,BOC03,0.5
2004,HC501,BOC03,2.8
2004,HC501,BOC03,6.1
2004,HC501,BOC03,4.2
2004,HC501,BOC03,6.9
2005,HC501,BOC01,3.3
2005,HC501,BOC02,4.1
2005,HC501,BOC02,2.8
2005,HC501,BOC03,0.1
2005,HC501,BOC03,0.5
2005,HC501,BOC03,2.6
2005,HC501,BOC03,5.9
2005,HC501,BOC03,4.1
2005,HC501,BOC03,6.6
2006,HC501,BOC01,3.2
2006,HC501,BOC02,4.0
2006,HC501,BOC02,2.7
2006,HC501,BOC03,0.1
2006,HC501,BOC03,0.5
2006,HC501,BOC03,2.6
2006,HC501,BOC03,5.7
2006,HC501,BOC03,4.0
2006,HC501,BOC03,6.6
2007,HC501,BOC01,3.0
2007,HC501,BOC02,3.8
2007,HC501,BOC02,2.5
2007,HC501,BOC03,0.1
2007,HC501,BOC03,0.5
2007,HC501,BOC03,2.5
2007,HC501,BOC03,5.4
2007,HC501,BOC03,3.8
2007,HC501,BOC03,6.2
2008,HC501,BOC01,2.9
2008,HC501,BOC02,3.7
2008,HC501,BOC02,2.5
2008,HC501,BOC03,0.1
2008,HC501,BOC03,0.5
2008,HC501,BOC03,2.3
2008,HC501,BOC03,5.2
2008,HC501,BOC03,3.6
2008,HC501,BOC03,6.1
2009,HC501,BOC01,3.0
2009,HC501,BOC02,3.8
2009,HC501,BOC02,2.5
2009,HC501,BOC03,0.1
2009,HC501,BOC03,0.5
2009,HC501,BOC03,2.4
2009,HC501,BOC03,5.5
2009,HC501,BOC03,3.8
2009,HC501,BOC03,6.4
2010,HC501,BOC01,2.9
2010,HC501,BOC02,3.6
2010,HC501,BOC02,2.5
2010,HC501,BOC03,0.1
2010,HC501,BOC03,0.5
2010,HC501,BOC03,2.3
2010,HC501,BOC03,5.3
2010,HC501,BOC03,3.6
2010,HC501,BOC03,6.2
2011,HC501,BOC01,2.9
2011,HC501,BOC02,3.6
2011,HC501,BOC02,2.5
2011,HC501,BOC03,0.1
2011,HC501,BOC03,0.5
2011,HC501,BOC03,2.3
2011,HC501,BOC03,5.1
2011,HC501,BOC03,3.6
2011,HC501,BOC03,6.1
2012,HC501,BOC01,2.8
2012,HC501,BOC02,3.5
2012,HC501,BOC02,2.4
2012,HC501,BOC03,0.1
2012,HC501,BOC03,0.5
2012,HC501,BOC03,2.2
2012,HC501,BOC03,5.0
2012,HC501,BOC03,3.5
2012,HC501,BOC03,6.0
2013,HC501,BOC01,2.9
2013,HC501,BOC02,3.6
2013,HC501,BOC02,2.4
2013,HC501,BOC03,0.1
2013,HC501,BOC03,0.5
2013,HC501,BOC03,2.4
2013,HC501,BOC03,5.1
2013,HC501,BOC03,3.6
2013,HC501,BOC03,6.1
2004,HC503,BOC01,4.0
2004,HC503,BOC02,4.1
2004,HC503,BOC02,4.0
2004,HC503,BOC03,
2004,HC503,BOC03,1.7
2004,HC503,BOC03,2.1
2004,HC503,BOC03,4.7
2004,HC503,BOC03,4.0
2004,HC503,BOC03,5.3
2005,HC503,BOC01,3.8
2005,HC503,BOC02,3.8
2005,HC503,BOC02,3.9
2005,HC503,BOC03,
2005,HC503,BOC03,1.3
2005,HC503,BOC03,1.8
2005,HC503,BOC03,4.6
2005,HC503,BOC03,3.9
2005,HC503,BOC03,5.2
2006,HC503,BOC01,3.6
2006,HC503,BOC02,3.4
2006,HC503,BOC02,3.7
2006,HC503,BOC03,
2006,HC503,BOC03,1.4
2006,HC503,BOC03,1.7
2006,HC503,BOC03,4.3
2006,HC503,BOC03,3.6
2006,HC503,BOC03,4.8
2007,HC503,BOC01,3.3
2007,HC503,BOC02,3.1
2007,HC503,BOC02,3.4
2007,HC503,BOC03,3.5
2007,HC503,BOC03,1.4
2007,HC503,BOC03,1.6
2007,HC503,BOC03,3.9
2007,HC503,BOC03,3.3
2007,HC503,BOC03,4.5
2008,HC503,BOC01,3.4
2008,HC503,BOC02,3.3
2008,HC503,BOC02,3.4
2008,HC503,BOC03,3.1
2008,HC503,BOC03,1.4
2008,HC503,BOC03,1.6
2008,HC503,BOC03,4.0
2008,HC503,BOC03,3.4
2008,HC503,BOC03,4.6
2009,HC503,BOC01,3.3
2009,HC503,BOC02,3.2
2009,HC503,BOC02,3.3
2009,HC503,BOC03,
2009,HC503,BOC03,1.5
2009,HC503,BOC03,1.6
2010,HC503,BOC01,3.1
2010,HC503,BOC02,3.1
2010,HC503,BOC02,3.2
2010,HC503,BOC03,
2010,HC503,BOC03,1.2
2010,HC503,BOC03,1.5
2010,HC503,BOC03,3.8
2010,HC503,BOC03,3.2
2010,HC503,BOC03,4.3
2011,HC503,BOC01,3.1
2011,HC503,BOC02,3.1
2011,HC503,BOC02,3.2
2011,HC503,BOC03,3.7
2011,HC503,BOC03,1.1
2011,HC503,BOC03,1.6
2011,HC503,BOC03,3.7
2011,HC503,BOC03,3.2
2011,HC503,BOC03,4.2
2012,HC503,BOC01,3.1
2012,HC503,BOC02,3.1
2012,HC503,BOC02,3.1
2012,HC503,BOC03,
2012,HC503,BOC03,1.4
2012,HC503,BOC03,1.5
2012,HC503,BOC03,3.7
2012,HC503,BOC03,3.1
2012,HC503,BOC03,4.2
2013,HC503,BOC01,3.0
2013,HC503,BOC02,3.1
2013,HC503,BOC02,3.0
2013,HC503,BOC03,
2013,HC503,BOC03,1.4
2013,HC503,BOC03,1.5
2013,HC503,BOC03,3.6
2013,HC503,BOC03,3.0
2013,HC503,BOC03,4.0
2004,HC601,BOC01,2.3
2004,HC601,BOC02,2.8
2004,HC601,BOC02,2.0
2004,HC601,BOC03,0.1
2004,HC601,BOC03,0.4
2004,HC601,BOC03,2.2
2004,HC601,BOC03,3.9
2004,HC601,BOC03,2.9
2004,HC601,BOC03,4.1
2005,HC601,BOC01,2.2
2005,HC601,BOC02,2.7
2005,HC601,BOC02,1.9
2005,HC601,BOC03,0.1
2005,HC601,BOC03,0.4
2005,HC601,BOC03,2.1
2005,HC601,BOC03,3.7
2005,HC601,BOC03,2.7
2005,HC601,BOC03,3.9
2006,HC601,BOC01,2.2
2006,HC601,BOC02,2.7
2006,HC601,BOC02,1.9
2006,HC601,BOC03,0.1
2006,HC601,BOC03,0.4
2006,HC601,BOC03,2.2
2006,HC601,BOC03,3.7
2006,HC601,BOC03,2.8
2006,HC601,BOC03,3.9
2007,HC601,BOC01,2.2
2007,HC601,BOC02,2.7
2007,HC601,BOC02,1.9
2007,HC601,BOC03,0.1
2007,HC601,BOC03,0.4
2007,HC601,BOC03,2.1
2007,HC601,BOC03,3.7
2007,HC601,BOC03,2.7
2007,HC601,BOC03,3.9
2008,HC601,BOC01,2.3
2008,HC601,BOC02,2.8
2008,HC601,BOC02,2.0
2008,HC601,BOC03,0.1
2008,HC601,BOC03,0.4
2008,HC601,BOC03,2.2
2008,HC601,BOC03,3.7
2008,HC601,BOC03,2.8
2008,HC601,BOC03,3.9
2009,HC601,BOC01,2.2
2009,HC601,BOC02,2.7
2009,HC601,BOC02,1.9
2009,HC601,BOC03,0.1
2009,HC601,BOC03,0.4
2009,HC601,BOC03,2.1
2009,HC601,BOC03,3.7
2009,HC601,BOC03,2.8
2009,HC601,BOC03,3.9
2010,HC601,BOC01,2.3
2010,HC601,BOC02,2.8
2010,HC601,BOC02,2.0
2010,HC601,BOC03,0.1
2010,HC601,BOC03,0.5
2010,HC601,BOC03,2.3
2010,HC601,BOC03,3.8
2010,HC601,BOC03,2.9
2010,HC601,BOC03,3.9
2011,HC601,BOC01,2.4
2011,HC601,BOC02,2.8
2011,HC601,BOC02,2.0
2011,HC601,BOC03,0.1
2011,HC601,BOC03,0.5
2011,HC601,BOC03,2.3
2011,HC601,BOC03,3.8
2011,HC601,BOC03,2.9
2011,HC601,BOC03,4.0
2012,HC601,BOC01,2.4
2012,HC601,BOC02,2.9
2012,HC601,BOC02,2.1
2012,HC601,BOC03,0.1
2012,HC601,BOC03,0.5
2012,HC601,BOC03,2.4
2012,HC601,BOC03,3.8
2012,HC601,BOC03,3.0
2012,HC601,BOC03,4.1
2013,HC601,BOC01,2.5
2013,HC601,BOC02,3.0
2013,HC601,BOC02,2.1
2013,HC601,BOC03,0.1
2013,HC601,BOC03,0.5
2013,HC601,BOC03,2.5
2013,HC601,BOC03,3.9
2013,HC601,BOC03,3.0
2013,HC601,BOC03,4.1
2004,HC603,BOC01,8.2
2004,HC603,BOC02,7.7
2004,HC603,BOC02,8.6
2004,HC603,BOC03,5.5
2004,HC603,BOC03,7.9
2004,HC603,BOC03,6.6
2004,HC603,BOC03,8.8
2004,HC603,BOC03,8.2
2004,HC603,BOC03,10.1
2005,HC603,BOC01,7.7
2005,HC603,BOC02,7.2
2005,HC603,BOC02,8.1
2005,HC603,BOC03,7.5
2005,HC603,BOC03,7.3
2005,HC603,BOC03,6.1
2005,HC603,BOC03,8.3
2005,HC603,BOC03,7.7
2005,HC603,BOC03,9.6
2006,HC603,BOC01,7.5
2006,HC603,BOC02,6.9
2006,HC603,BOC02,8.0
2006,HC603,BOC03,7.0
2006,HC603,BOC03,7.0
2006,HC603,BOC03,6.3
2006,HC603,BOC03,8.0
2006,HC603,BOC03,7.5
2006,HC603,BOC03,9.3
2007,HC603,BOC01,7.0
2007,HC603,BOC02,6.5
2007,HC603,BOC02,7.6
2007,HC603,BOC03,5.0
2007,HC603,BOC03,6.7
2007,HC603,BOC03,5.5
2007,HC603,BOC03,7.7
2007,HC603,BOC03,7.1
2007,HC603,BOC03,8.8
2008,HC603,BOC01,7.2
2008,HC603,BOC02,6.6
2008,HC603,BOC02,7.7
2008,HC603,BOC03,3.8
2008,HC603,BOC03,6.1
2008,HC603,BOC03,5.4
2008,HC603,BOC03,8.0
2008,HC603,BOC03,7.2
2008,HC603,BOC03,9.4
2009,HC603,BOC01,6.9
2009,HC603,BOC02,6.4
2009,HC603,BOC02,7.4
2009,HC603,BOC03,7.7
2009,HC603,BOC03,6.0
2009,HC603,BOC03,5.3
2009,HC603,BOC03,7.6
2009,HC603,BOC03,6.9
2009,HC603,BOC03,8.9
2010,HC603,BOC01,7.1
2010,HC603,BOC02,6.6
2010,HC603,BOC02,7.5
2010,HC603,BOC03,7.4
2010,HC603,BOC03,6.1
2010,HC603,BOC03,5.8
2010,HC603,BOC03,7.8
2010,HC603,BOC03,7.1
2010,HC603,BOC03,9.0
2011,HC603,BOC01,6.3
2011,HC603,BOC02,6.0
2011,HC603,BOC02,6.7
2011,HC603,BOC03,5.8
2011,HC603,BOC03,5.7
2011,HC603,BOC03,5.0
2011,HC603,BOC03,6.9
2011,HC603,BOC03,6.3
2011,HC603,BOC03,8.0
2012,HC603,BOC01,6.4
2012,HC603,BOC02,6.0
2012,HC603,BOC02,6.8
2012,HC603,BOC03,4.7
2012,HC603,BOC03,5.6
2012,HC603,BOC03,5.2
2012,HC603,BOC03,7.0
2012,HC603,BOC03,6.4
2012,HC603,BOC03,8.3
2013,HC603,BOC01,6.3
2013,HC603,BOC02,5.8
2013,HC603,BOC02,6.7
2013,HC603,BOC03,5.2
2013,HC603,BOC03,5.1
2013,HC603,BOC03,4.9
2013,HC603,BOC03,6.9
2013,HC603,BOC03,6.3
2013,HC603,BOC03,8.2